Bank,Account Number,Loan Type,Investor Code,Borrower,Property Address,Property Type,Product Line,State,Region,Occupancy Code,Stop Code,Account Officer,Loan Closing Date,Maturity Date,Next Payment Due Date,Payment Due Amount,Delinquency Type,# Days Past Due,Total Bank Balance,Charge Off Amount,Original Appraisal Amount,Appraisal Value,Appraisal Date,FICO,Total Loan To Value,Last Payment Received Date,Last Payment Received Amount,Suspense Balance,DDA/Sav Acct#,DDA/Sav Account Balance,Latest Contact Date,Latest Attempt Date
East West Bank,EWB-1000208,ARM,FHLMC,Borrower 208,"1285 Main St, Unit 31",Residential Property (1-4 Units),CR1,WA,West,2,PIF,Linda Garcia,2022-10-31,2052-10-23,2026-04-20,3781,90-Day Delinquent,120,424371,1624,666771,683306,2022-10-16,727,62.11,2025-11-18,1214,871,DDA-11318,13278,2026-03-09,2026-03-18
East West Bank,EWB-1000209,Conventional,PRIV,Borrower 209,"5904 Main St, Unit 26",Commercial & Multi-Family (5+ Units),LC1,GA,East,1,LOSS,Emily Watson,2023-01-29,2053-01-21,2026-04-20,2434,Current,0,459212,0,693176,733307,2023-01-14,593,62.62,2025-12-29,1578,117,DDA-70794,36404,2026-02-23,2026-03-19
East West Bank,EWB-1000210,Foreign National,PRIV,Borrower 210,"2131 Main St, Unit 8",Commercial & Multi-Family (5+ Units),SP1,IL,West,2,TRNS,Linda Garcia,2022-06-24,2052-06-16,2026-04-20,1274,Current,0,694768,0,1184978,1269654,2022-06-09,685,54.72,2025-11-28,2089,950,DDA-64674,36884,2026-03-15,2026-03-21
East West Bank,EWB-1000211,Foreign National,FHLMC,Borrower 211,"717 Main St, Unit 37",Residential Property (1-4 Units),CR1,NJ,South,1,REO,Patricia Hernandez,2022-05-04,2052-04-26,2026-04-20,3928,90-Day Delinquent,150,196277,784,235999,292967,2022-04-19,619,67.0,2025-12-29,4943,440,DDA-92981,1417,2026-02-22,2026-03-19
East West Bank,EWB-1000212,Construction,FNMA,Borrower 212,"117 Main St, Unit 16",Residential Property (1-4 Units),LC1,WA,West,2,LEG,Christopher Thomas,2022-06-20,2052-06-12,2026-04-20,1922,Current,0,203058,0,220640,258653,2022-06-05,686,78.51,2025-11-07,4789,816,DDA-74403,30998,2026-03-13,2026-03-17
East West Bank,EWB-1000213,Conventional,FNMA,Borrower 213,"352 Main St, Unit 6",Commercial & Multi-Family (5+ Units),CE1,VA,North,1,PIF,Joseph White,2023-01-22,2053-01-14,2026-04-20,1725,60-Day Delinquent,60,302671,0,550573,602538,2023-01-07,809,50.23,2025-11-30,3539,386,DDA-36932,49468,2026-02-22,2026-03-21
East West Bank,EWB-1000214,Equity,FNMA,Borrower 214,"3065 Main St, Unit 6",Residential Property (1-4 Units),CR1,FL,West,3,TRNS,David Rodriguez,2023-08-20,2053-08-12,2026-04-20,4250,Current,0,903550,0,1365856,1630336,2023-08-05,630,55.42,2025-11-06,4481,108,DDA-40953,21008,2026-03-10,2026-03-17
East West Bank,EWB-1000215,Foreign National,EWB-INT,Borrower 215,"6592 Main St, Unit 24",Residential Property (1-4 Units),CS1,IL,North,1,SII,Patricia Hernandez,2023-11-04,2053-10-27,2026-04-20,1323,30-Day Delinquent,30,513312,0,848646,855900,2023-10-20,590,59.97,2025-11-26,1548,825,DDA-79744,38158,2026-02-25,2026-03-18
East West Bank,EWB-1000216,Equity,FHLMC,Borrower 216,"5934 Main St, Unit 46",Commercial & Multi-Family (5+ Units),LC1,TX,East,2,BK,Richard Davis,2023-03-18,2053-03-10,2026-04-20,1327,60-Day Delinquent,60,518140,0,564568,563274,2023-03-03,755,91.99,2025-12-14,4131,751,DDA-28001,29592,2026-03-14,2026-03-21
East West Bank,EWB-1000217,ARM,GNMA,Borrower 217,"9457 Main St, Unit 1",Residential Property (1-4 Units),CE1,MA,East,3,LEG,Richard Davis,2023-02-19,2053-02-11,2026-04-20,3403,Current,0,703507,0,784736,912717,2023-02-04,662,77.08,2025-12-10,1707,462,DDA-51322,17888,2026-03-10,2026-03-21
East West Bank,EWB-1000218,Construction,FNMA,Borrower 218,"729 Main St, Unit 46",Residential Property (1-4 Units),CE1,TX,South,3,REO,Christopher Thomas,2023-02-09,2053-02-01,2026-04-20,3647,Current,0,1093322,0,1376607,1645005,2023-01-25,654,66.46,2025-11-05,1260,150,DDA-33857,37335,2026-03-16,2026-03-19
East West Bank,EWB-1000219,Equity,PRIV,Borrower 219,"4618 Main St, Unit 32",Commercial & Multi-Family (5+ Units),SP1,NJ,South,2,REO,Richard Davis,2023-07-07,2053-06-29,2026-04-20,3664,Current,0,778914,0,1317756,1375822,2023-06-22,652,56.61,2025-11-02,1179,132,DDA-23168,27569,2026-02-28,2026-03-17
East West Bank,EWB-1000220,Equity,EWB-INT,Borrower 220,"8324 Main St, Unit 10",Commercial & Multi-Family (5+ Units),CS1,NJ,West,3,M,Richard Davis,2023-06-25,2053-06-17,2026-04-20,4000,90-Day Delinquent,90,213951,4538,328352,353098,2023-06-10,593,60.59,2025-12-05,4095,638,DDA-18620,11535,2026-03-08,2026-03-17
East West Bank,EWB-1000221,Construction,FHLMC,Borrower 221,"8025 Main St, Unit 1",Residential Property (1-4 Units),SP1,FL,South,2,PIF,Margaret Harris,2022-12-24,2052-12-16,2026-04-20,2000,Current,0,272750,0,345004,420670,2022-12-09,710,64.84,2025-11-27,1978,835,DDA-33579,34077,2026-03-20,2026-03-20
East West Bank,EWB-1000222,Lot Loan,GNMA,Borrower 222,"4105 Main St, Unit 28",Residential Property (1-4 Units),CR1,WA,East,1,REO,Susan Martinez,2022-03-02,2052-02-23,2026-04-20,3986,90-Day Delinquent,90,1168413,1184,1257739,1236597,2022-02-15,694,94.49,2025-11-25,1147,675,DDA-15240,37562,2026-02-19,2026-03-20
East West Bank,EWB-1000223,Foreign National,FNMA,Borrower 223,"2678 Main St, Unit 11",Residential Property (1-4 Units),CE1,FL,North,2,DIS,Thomas Thompson,2023-07-31,2053-07-23,2026-04-20,4545,90-Day Delinquent,120,292089,4220,575523,652119,2023-07-16,808,44.79,2025-12-31,4962,742,DDA-27745,35104,2026-03-05,2026-03-21
East West Bank,EWB-1000224,Lot Loan,FHLMC,Borrower 224,"5495 Main St, Unit 50",Residential Property (1-4 Units),LC1,MA,South,4,PIF,Michael Chen,2023-05-21,2053-05-13,2026-04-20,3454,Current,0,110181,0,155486,151356,2023-05-06,722,72.8,2025-12-01,4021,100,DDA-98441,28141,2026-03-09,2026-03-17
East West Bank,EWB-1000225,ARM,PRIV,Borrower 225,"6225 Main St, Unit 4",Commercial & Multi-Family (5+ Units),SP1,GA,East,3,DIS,Sandra Garcia,2023-09-20,2053-09-12,2026-04-20,2307,Current,0,763314,0,1189458,1536873,2023-09-05,662,49.67,2025-11-04,2387,312,DDA-22517,43330,2026-03-11,2026-03-20
East West Bank,EWB-1000226,Equity,FNMA,Borrower 226,"6786 Main St, Unit 10",Residential Property (1-4 Units),HE1,GA,West,3,SII,Nancy Jackson,2023-07-21,2053-07-13,2026-04-20,1937,30-Day Delinquent,30,689653,0,816490,954589,2023-07-06,605,72.25,2025-12-24,1558,988,DDA-52797,36402,2026-03-08,2026-03-20
East West Bank,EWB-1000227,Specialty,PRIV,Borrower 227,"8351 Main St, Unit 1",Residential Property (1-4 Units),HE1,FL,East,2,REO,James Miller,2022-03-16,2052-03-08,2026-04-20,1984,Current,0,331307,0,472710,575756,2022-03-01,660,57.54,2026-01-01,1927,653,DDA-86673,49509,2026-03-20,2026-03-21
East West Bank,EWB-1000228,ARM,FHLMC,Borrower 228,"8114 Main St, Unit 29",Commercial & Multi-Family (5+ Units),SP1,VA,North,1,FC,Barbara Taylor,2022-11-30,2052-11-22,2026-04-20,2057,60-Day Delinquent,60,502402,0,937494,1102475,2022-11-15,721,45.57,2025-12-03,2768,919,DDA-92107,6927,2026-03-12,2026-03-21
East West Bank,EWB-1000229,ARM,FNMA,Borrower 229,"3127 Main St, Unit 9",Commercial & Multi-Family (5+ Units),SP1,NJ,North,1,FC,Linda Garcia,2022-07-08,2052-06-30,2026-04-20,3398,Current,0,766030,0,1351193,1744535,2022-06-23,599,43.91,2025-11-15,2974,694,DDA-97232,37442,2026-03-14,2026-03-20
East West Bank,EWB-1000230,ARM,GNMA,Borrower 230,"9716 Main St, Unit 50",Residential Property (1-4 Units),SP1,WA,South,3,TRNS,Michael Chen,2022-03-23,2052-03-15,2026-04-20,3702,90-Day Delinquent,120,959814,4391,1062606,1332499,2022-03-08,803,72.03,2025-11-20,3205,356,DDA-80559,2267,2026-03-12,2026-03-21
East West Bank,EWB-1000231,Conventional,EWB-INT,Borrower 231,"597 Main St, Unit 26",Residential Property (1-4 Units),CR1,MA,South,1,PIF,Sandra Garcia,2022-03-21,2052-03-13,2026-04-20,4185,Current,0,871358,0,1091218,994700,2022-03-06,766,87.6,2025-11-05,3072,214,DDA-82394,4501,2026-03-18,2026-03-20
East West Bank,EWB-1000232,Foreign National,EWB-INT,Borrower 232,"1031 Main St, Unit 6",Commercial & Multi-Family (5+ Units),CE1,NJ,West,2,BK,Sarah Jenkins,2022-03-01,2052-02-22,2026-04-20,3800,90-Day Delinquent,90,890925,4114,1288506,1421428,2022-02-14,806,62.68,2025-11-05,2722,349,DDA-90832,23843,2026-03-02,2026-03-17
East West Bank,EWB-1000233,Equity,GNMA,Borrower 233,"9095 Main St, Unit 23",Commercial & Multi-Family (5+ Units),CE1,MA,East,2,REO,Lisa Williams,2023-08-17,2053-08-09,2026-04-20,3782,Current,0,239300,0,329208,303801,2023-08-02,747,78.77,2025-12-28,3907,100,DDA-66251,24454,2026-02-21,2026-03-18
East West Bank,EWB-1000234,ARM,FNMA,Borrower 234,"7249 Main St, Unit 35",Residential Property (1-4 Units),CE1,NY,West,3,LOSS,Robert Brown,2022-03-31,2052-03-23,2026-04-20,1408,60-Day Delinquent,60,269345,0,381915,436830,2022-03-16,678,61.66,2025-12-18,1625,478,DDA-38671,29601,2026-02-28,2026-03-21
East West Bank,EWB-1000235,Specialty,PRIV,Borrower 235,"7583 Main St, Unit 10",Commercial & Multi-Family (5+ Units),HE1,GA,North,1,M,Matthew Moore,2022-01-29,2052-01-22,2026-04-20,2768,90-Day Delinquent,90,498626,1931,587477,558884,2022-01-14,604,89.22,2025-11-05,3667,146,DDA-13554,36739,2026-03-16,2026-03-16
East West Bank,EWB-1000236,Construction,FHLMC,Borrower 236,"2782 Main St, Unit 41",Commercial & Multi-Family (5+ Units),CR1,FL,North,2,BK,Linda Garcia,2022-02-05,2052-01-29,2026-04-20,3316,Current,0,1130636,0,1376380,1368513,2022-01-21,589,82.62,2025-11-24,2562,777,DDA-82589,38562,2026-02-22,2026-03-18
East West Bank,EWB-1000237,Conventional,FHLMC,Borrower 237,"9856 Main St, Unit 3",Commercial & Multi-Family (5+ Units),CS1,GA,East,3,SII,Thomas Thompson,2022-07-15,2052-07-07,2026-04-20,2728,Current,0,512490,0,868216,931307,2022-06-30,594,55.03,2025-11-27,2446,406,DDA-46554,36666,2026-02-19,2026-03-21
East West Bank,EWB-1000238,Specialty,FHLMC,Borrower 238,"8313 Main St, Unit 37",Commercial & Multi-Family (5+ Units),SP1,IL,South,4,REO,Richard Davis,2022-07-03,2052-06-25,2026-04-20,2064,60-Day Delinquent,60,828168,0,955497,947399,2022-06-18,812,87.41,2025-12-16,4447,443,DDA-16419,20151,2026-02-21,2026-03-18
East West Bank,EWB-1000239,Lot Loan,EWB-INT,Borrower 239,"6164 Main St, Unit 31",Commercial & Multi-Family (5+ Units),CS1,NJ,South,4,M,James Miller,2022-11-21,2052-11-13,2026-04-20,2579,Current,0,554344,0,762380,874613,2022-11-06,739,63.38,2025-12-14,3820,166,DDA-54868,8878,2026-03-19,2026-03-19
East West Bank,EWB-1000240,Conventional,FNMA,Borrower 240,"8383 Main St, Unit 45",Residential Property (1-4 Units),CR1,TX,West,3,FC,Daniel Martin,2022-06-29,2052-06-21,2026-04-20,3401,Current,0,1372622,0,1487682,1339992,2022-06-14,675,102.44,2025-12-15,4842,17,DDA-82326,2930,2026-03-14,2026-03-21
East West Bank,EWB-1000241,Construction,PRIV,Borrower 241,"603 Main St, Unit 37",Commercial & Multi-Family (5+ Units),LC1,NY,West,1,M,Christopher Thomas,2022-12-04,2052-11-26,2026-04-20,3524,Current,0,263241,0,307504,375063,2022-11-19,731,70.19,2025-11-12,4876,328,DDA-29030,41628,2026-03-17,2026-03-16
East West Bank,EWB-1000242,Foreign National,FHLMC,Borrower 242,"9412 Main St, Unit 48",Residential Property (1-4 Units),HE1,NJ,West,2,M,Barbara Taylor,2023-01-09,2053-01-01,2026-04-20,1031,90-Day Delinquent,90,703200,750,842440,1071990,2022-12-25,752,65.6,2025-12-31,4784,2,DDA-95793,44220,2026-03-07,2026-03-17
East West Bank,EWB-1000243,ARM,EWB-INT,Borrower 243,"1423 Main St, Unit 20",Residential Property (1-4 Units),LC1,GA,East,1,DIS,Robert Brown,2023-03-03,2053-02-23,2026-04-20,3083,Current,0,534417,0,667923,651588,2023-02-16,690,82.02,2025-11-25,1141,658,DDA-95302,12492,2026-02-26,2026-03-19
East West Bank,EWB-1000244,Foreign National,FHLMC,Borrower 244,"5802 Main St, Unit 8",Residential Property (1-4 Units),CR1,NJ,West,2,DIS,Thomas Thompson,2023-07-07,2053-06-29,2026-04-20,3203,Current,0,89860,0,169870,170299,2023-06-22,746,52.77,2025-11-11,4851,271,DDA-79501,16595,2026-02-26,2026-03-18
East West Bank,EWB-1000245,Construction,FNMA,Borrower 245,"6759 Main St, Unit 36",Commercial & Multi-Family (5+ Units),SP1,VA,South,3,PIF,Matthew Moore,2022-12-23,2052-12-15,2026-04-20,3848,Current,0,362256,0,398683,427140,2022-12-08,747,84.81,2025-12-13,1996,338,DDA-85687,42992,2026-03-13,2026-03-18
East West Bank,EWB-1000246,Foreign National,FHLMC,Borrower 246,"7067 Main St, Unit 33",Commercial & Multi-Family (5+ Units),HE1,MA,East,3,REO,Sandra Garcia,2023-02-28,2053-02-20,2026-04-20,1182,Current,0,900363,0,961721,1244263,2023-02-13,801,72.36,2025-12-19,3120,694,DDA-89587,23918,2026-03-03,2026-03-18
East West Bank,EWB-1000247,Specialty,PRIV,Borrower 247,"8852 Main St, Unit 26",Commercial & Multi-Family (5+ Units),CS1,MA,North,4,LOSS,Nancy Jackson,2023-04-08,2053-03-31,2026-04-20,3980,90-Day Delinquent,90,1183721,4537,1284764,1440575,2023-03-24,754,82.17,2025-11-30,3806,77,DDA-89510,45556,2026-03-04,2026-03-16
East West Bank,EWB-1000248,Equity,FNMA,Borrower 248,"5301 Main St, Unit 18",Residential Property (1-4 Units),CR1,NY,East,4,TRNS,Robert Brown,2022-05-09,2052-05-01,2026-04-20,1593,Current,0,517703,0,940141,986749,2022-04-24,722,52.47,2025-12-05,3391,226,DDA-20101,6095,2026-03-17,2026-03-20
East West Bank,EWB-1000249,Equity,FHLMC,Borrower 249,"4855 Main St, Unit 47",Residential Property (1-4 Units),CR1,FL,East,3,PIF,Richard Davis,2022-03-04,2052-02-25,2026-04-20,4291,Current,0,690525,0,861131,1000087,2022-02-17,729,69.05,2025-11-05,3597,869,DDA-97461,3455,2026-03-13,2026-03-16
East West Bank,EWB-1000250,Lot Loan,FHLMC,Borrower 250,"9658 Main St, Unit 25",Residential Property (1-4 Units),SP1,GA,East,2,M,Linda Garcia,2022-03-12,2052-03-04,2026-04-20,2326,60-Day Delinquent,60,162128,0,306542,364176,2022-02-25,721,44.52,2025-12-04,2477,280,DDA-90466,33346,2026-03-10,2026-03-21
East West Bank,EWB-1000251,ARM,EWB-INT,Borrower 251,"3841 Main St, Unit 4",Residential Property (1-4 Units),SP1,NY,South,3,PIF,Christopher Thomas,2023-11-12,2053-11-04,2026-04-20,2400,30-Day Delinquent,30,682562,0,1016651,938288,2023-10-28,791,72.75,2025-12-30,2967,363,DDA-39329,9417,2026-03-15,2026-03-17
East West Bank,EWB-1000252,ARM,FHLMC,Borrower 252,"1419 Main St, Unit 21",Commercial & Multi-Family (5+ Units),HE1,NJ,North,4,SII,Thomas Thompson,2022-01-01,2051-12-25,2026-04-20,4090,90-Day Delinquent,120,487107,4356,905195,887244,2021-12-17,630,54.9,2025-11-28,1391,609,DDA-55761,49185,2026-02-19,2026-03-20
East West Bank,EWB-1000253,Construction,FNMA,Borrower 253,"9598 Main St, Unit 49",Residential Property (1-4 Units),SP1,FL,West,4,PIF,Thomas Thompson,2023-01-03,2052-12-26,2026-04-20,2385,Current,0,282118,0,363920,389994,2022-12-19,733,72.34,2025-12-01,4575,762,DDA-23288,31144,2026-02-19,2026-03-17
East West Bank,EWB-1000254,Conventional,GNMA,Borrower 254,"2408 Main St, Unit 43",Residential Property (1-4 Units),LC1,MA,West,4,M,Lisa Williams,2022-02-11,2052-02-04,2026-04-20,3850,Current,0,726084,0,803983,886634,2022-01-27,701,81.89,2025-11-09,4490,708,DDA-12119,37070,2026-03-18,2026-03-17
East West Bank,EWB-1000255,Specialty,GNMA,Borrower 255,"7786 Main St, Unit 32",Residential Property (1-4 Units),CR1,VA,West,4,PIF,David Rodriguez,2023-06-06,2053-05-29,2026-04-20,1872,Current,0,160792,0,278148,354622,2023-05-22,802,45.34,2025-12-09,1550,186,DDA-10114,2446,2026-03-06,2026-03-16
East West Bank,EWB-1000256,Lot Loan,PRIV,Borrower 256,"2452 Main St, Unit 8",Residential Property (1-4 Units),HE1,CA,North,3,BK,Jessica Taylor,2022-03-31,2052-03-23,2026-04-20,2049,Current,0,835098,0,1391290,1566738,2022-03-16,627,53.3,2025-12-18,2604,267,DDA-25163,47883,2026-03-05,2026-03-20
East West Bank,EWB-1000257,Construction,FHLMC,Borrower 257,"4000 Main St, Unit 36",Commercial & Multi-Family (5+ Units),CS1,FL,West,3,FC,Margaret Harris,2023-06-17,2053-06-09,2026-04-20,2814,90-Day Delinquent,90,305528,4003,409747,451462,2023-06-02,698,67.68,2025-11-24,1671,369,DDA-77276,20604,2026-03-20,2026-03-18
East West Bank,EWB-1000258,ARM,PRIV,Borrower 258,"8740 Main St, Unit 5",Residential Property (1-4 Units),CE1,NJ,South,2,BK,Robert Brown,2022-07-09,2052-07-01,2026-04-20,1512,Current,0,383915,0,425987,502273,2022-06-24,590,76.44,2025-12-12,3700,492,DDA-98757,28433,2026-03-06,2026-03-19
East West Bank,EWB-1000259,Equity,FNMA,Borrower 259,"9146 Main St, Unit 41",Commercial & Multi-Family (5+ Units),CR1,MA,West,3,DIS,Daniel Martin,2022-10-18,2052-10-10,2026-04-20,2730,Current,0,656483,0,1008158,1262124,2022-10-03,653,52.01,2025-12-09,2172,800,DDA-92783,32521,2026-03-05,2026-03-17
East West Bank,EWB-1000260,Foreign National,FHLMC,Borrower 260,"8475 Main St, Unit 29",Residential Property (1-4 Units),LC1,WA,North,3,LOSS,Karen Anderson,2022-08-24,2052-08-16,2026-04-20,4055,30-Day Delinquent,30,368689,0,409214,451266,2022-08-09,798,81.7,2025-11-17,3600,315,DDA-80853,9775,2026-03-01,2026-03-17
East West Bank,EWB-1000261,Foreign National,GNMA,Borrower 261,"5470 Main St, Unit 41",Commercial & Multi-Family (5+ Units),CS1,NJ,West,2,DIS,John Smith,2022-12-19,2052-12-11,2026-04-20,1184,Current,0,514595,0,651108,689327,2022-12-04,666,74.65,2025-11-29,4129,690,DDA-30166,24167,2026-03-12,2026-03-17
East West Bank,EWB-1000262,Equity,EWB-INT,Borrower 262,"3820 Main St, Unit 42",Commercial & Multi-Family (5+ Units),LC1,VA,North,2,REO,Patricia Hernandez,2023-01-13,2053-01-05,2026-04-20,3271,30-Day Delinquent,30,900277,0,1348735,1427517,2022-12-29,669,63.07,2025-11-06,4275,354,DDA-45800,10784,2026-03-14,2026-03-17
East West Bank,EWB-1000263,Equity,GNMA,Borrower 263,"8936 Main St, Unit 41",Residential Property (1-4 Units),CR1,IL,East,3,TRNS,James Miller,2023-11-30,2053-11-22,2026-04-20,1008,30-Day Delinquent,30,708508,0,1074618,995826,2023-11-15,690,71.15,2025-12-04,3334,662,DDA-76657,12311,2026-02-27,2026-03-19
East West Bank,EWB-1000264,Lot Loan,FNMA,Borrower 264,"3197 Main St, Unit 47",Residential Property (1-4 Units),SP1,TX,South,2,DIS,Michael Chen,2023-05-21,2053-05-13,2026-04-20,4562,Current,0,775873,0,1078479,1237263,2023-05-06,820,62.71,2025-12-19,4516,986,DDA-30845,8779,2026-03-01,2026-03-17
East West Bank,EWB-1000265,Specialty,FHLMC,Borrower 265,"8872 Main St, Unit 40",Commercial & Multi-Family (5+ Units),CS1,NY,North,3,BK,Matthew Moore,2023-09-28,2053-09-20,2026-04-20,4632,Current,0,466332,0,538043,653636,2023-09-13,588,71.34,2025-11-14,2680,797,DDA-62749,26992,2026-03-03,2026-03-18
East West Bank,EWB-1000266,Foreign National,PRIV,Borrower 266,"2522 Main St, Unit 4",Residential Property (1-4 Units),CE1,MA,West,3,REO,Thomas Thompson,2022-04-12,2052-04-04,2026-04-20,3970,Current,0,763793,0,1055588,1149681,2022-03-28,607,66.44,2025-12-07,1494,703,DDA-46891,27468,2026-03-09,2026-03-16
East West Bank,EWB-1000267,Specialty,FNMA,Borrower 267,"9626 Main St, Unit 19",Commercial & Multi-Family (5+ Units),SP1,NJ,North,2,TRNS,James Miller,2022-10-15,2052-10-07,2026-04-20,2671,Current,0,601682,0,720715,878499,2022-09-30,654,68.49,2025-11-25,2718,549,DDA-25170,41478,2026-03-20,2026-03-19
East West Bank,EWB-1000268,Lot Loan,PRIV,Borrower 268,"4485 Main St, Unit 48",Commercial & Multi-Family (5+ Units),CR1,NJ,West,4,FC,Donald Martinez,2023-12-30,2053-12-22,2026-04-20,1309,30-Day Delinquent,30,335803,0,514167,619004,2023-12-15,641,54.25,2025-12-09,3728,856,DDA-93105,43125,2026-03-01,2026-03-16
East West Bank,EWB-1000269,Foreign National,GNMA,Borrower 269,"1810 Main St, Unit 23",Residential Property (1-4 Units),HE1,CA,West,4,DIS,Matthew Moore,2023-12-20,2053-12-12,2026-04-20,1373,Current,0,547199,0,837281,1074819,2023-12-05,729,50.91,2025-12-25,4766,873,DDA-67354,8260,2026-03-04,2026-03-19
East West Bank,EWB-1000270,Lot Loan,FHLMC,Borrower 270,"4595 Main St, Unit 35",Commercial & Multi-Family (5+ Units),HE1,NJ,South,1,PIF,David Rodriguez,2022-12-14,2052-12-06,2026-04-20,2405,Current,0,1156079,0,1325592,1551594,2022-11-29,598,74.51,2026-01-01,4052,388,DDA-13626,6784,2026-02-24,2026-03-19
East West Bank,EWB-1000271,Construction,EWB-INT,Borrower 271,"9075 Main St, Unit 29",Commercial & Multi-Family (5+ Units),CR1,NY,North,3,DIS,Matthew Moore,2022-11-18,2052-11-10,2026-04-20,4412,Current,0,598084,0,647562,714277,2022-11-03,787,83.73,2025-11-19,3462,17,DDA-61252,21944,2026-03-19,2026-03-21
East West Bank,EWB-1000272,ARM,FNMA,Borrower 272,"418 Main St, Unit 3",Residential Property (1-4 Units),CS1,NY,North,1,M,Lisa Williams,2022-08-11,2052-08-03,2026-04-20,2772,30-Day Delinquent,30,409814,0,467428,607312,2022-07-27,582,67.48,2025-11-12,2681,78,DDA-30284,48099,2026-03-02,2026-03-21
East West Bank,EWB-1000273,Foreign National,FNMA,Borrower 273,"9051 Main St, Unit 2",Commercial & Multi-Family (5+ Units),CR1,MA,South,2,FC,Donald Martinez,2022-09-30,2052-09-22,2026-04-20,2276,60-Day Delinquent,60,669937,0,840907,1000732,2022-09-15,594,66.94,2025-12-01,3317,16,DDA-39003,42343,2026-02-25,2026-03-18
East West Bank,EWB-1000274,Foreign National,FNMA,Borrower 274,"9313 Main St, Unit 24",Residential Property (1-4 Units),SP1,FL,South,3,SII,Joseph White,2023-09-15,2053-09-07,2026-04-20,4437,Current,0,1131256,0,1363997,1388558,2023-08-31,770,81.47,2025-11-27,1656,554,DDA-44346,26591,2026-03-19,2026-03-16
East West Bank,EWB-1000275,Lot Loan,FNMA,Borrower 275,"297 Main St, Unit 29",Commercial & Multi-Family (5+ Units),CR1,CA,West,2,LEG,Christopher Thomas,2023-01-21,2053-01-13,2026-04-20,1948,Current,0,450236,0,588661,662539,2023-01-06,719,67.96,2025-11-15,2672,219,DDA-41220,17829,2026-02-21,2026-03-16
East West Bank,EWB-1000276,Specialty,GNMA,Borrower 276,"5723 Main St, Unit 5",Residential Property (1-4 Units),CE1,NY,South,2,PIF,Charles Wilson,2022-10-29,2052-10-21,2026-04-20,2954,90-Day Delinquent,120,610180,461,723695,797560,2022-10-14,658,76.51,2025-11-20,4149,644,DDA-66731,38851,2026-02-25,2026-03-21
East West Bank,EWB-1000277,Specialty,GNMA,Borrower 277,"2739 Main St, Unit 8",Commercial & Multi-Family (5+ Units),SP1,TX,West,4,FC,Michael Chen,2023-10-17,2053-10-09,2026-04-20,2211,Current,0,809352,0,1143176,1070371,2023-10-02,705,75.61,2025-12-20,1571,380,DDA-62746,37074,2026-03-19,2026-03-17
East West Bank,EWB-1000278,Lot Loan,EWB-INT,Borrower 278,"4844 Main St, Unit 46",Commercial & Multi-Family (5+ Units),LC1,CA,East,4,PIF,Sandra Garcia,2023-03-06,2053-02-26,2026-04-20,1081,Current,0,596068,0,628007,770089,2023-02-19,741,77.4,2025-12-25,4095,44,DDA-98711,47161,2026-03-07,2026-03-17
East West Bank,EWB-1000279,ARM,EWB-INT,Borrower 279,"1218 Main St, Unit 40",Commercial & Multi-Family (5+ Units),HE1,NJ,North,2,BK,Joseph White,2023-09-05,2053-08-28,2026-04-20,3857,90-Day Delinquent,90,1221134,1184,1424732,1555396,2023-08-21,674,78.51,2025-11-08,3430,288,DDA-18341,23275,2026-02-19,2026-03-20
East West Bank,EWB-1000280,Specialty,FNMA,Borrower 280,"6979 Main St, Unit 42",Commercial & Multi-Family (5+ Units),HE1,NJ,West,2,FC,James Miller,2022-01-18,2052-01-11,2026-04-20,4423,Current,0,581350,0,675303,653731,2022-01-03,788,88.93,2025-11-16,2366,54,DDA-61650,33924,2026-03-20,2026-03-19
East West Bank,EWB-1000281,Foreign National,FHLMC,Borrower 281,"9356 Main St, Unit 23",Commercial & Multi-Family (5+ Units),LC1,FL,West,4,PIF,Robert Brown,2023-05-05,2053-04-27,2026-04-20,1711,Current,0,89077,0,177712,221031,2023-04-20,628,40.3,2025-12-13,1126,586,DDA-77421,43517,2026-03-05,2026-03-20
East West Bank,EWB-1000282,Equity,EWB-INT,Borrower 282,"7707 Main St, Unit 33",Residential Property (1-4 Units),CR1,GA,East,1,PIF,Nancy Jackson,2023-09-29,2053-09-21,2026-04-20,1687,Current,0,142773,0,262816,240014,2023-09-14,764,59.49,2025-11-27,1475,506,DDA-41662,18879,2026-03-01,2026-03-21
East West Bank,EWB-1000283,Conventional,PRIV,Borrower 283,"9918 Main St, Unit 48",Commercial & Multi-Family (5+ Units),CE1,NY,West,2,BK,Robert Brown,2023-11-30,2053-11-22,2026-04-20,4105,Current,0,357473,0,435977,401236,2023-11-15,703,89.09,2025-12-06,2170,283,DDA-65004,40465,2026-03-04,2026-03-20
East West Bank,EWB-1000284,Construction,PRIV,Borrower 284,"245 Main St, Unit 5",Commercial & Multi-Family (5+ Units),CE1,WA,South,3,SII,Donald Martinez,2023-08-10,2053-08-02,2026-04-20,1291,Current,0,775579,0,956741,972619,2023-07-26,624,79.74,2025-12-11,3257,772,DDA-66482,21966,2026-03-17,2026-03-16
East West Bank,EWB-1000285,Foreign National,FNMA,Borrower 285,"7186 Main St, Unit 38",Residential Property (1-4 Units),CE1,IL,South,2,DIS,Daniel Martin,2023-06-19,2053-06-11,2026-04-20,4316,60-Day Delinquent,60,768080,0,1154208,1363887,2023-06-04,661,56.32,2025-11-21,3002,153,DDA-86201,36365,2026-02-19,2026-03-18
