Bank,Account Number,Loan Type,Investor Code,Borrower,Property Address,Property Type,Product Line,State,Occup Code,Stop Code,Account Officer,Loan Closing Date,Maturity Date,Next Payment Due Date,Payment Due Amount,Delinquency Type,# Days Past Due,Total Bank Balance,Charge off Amount,Orig Appraisal Amount,Orig Appraisal Date,Appraisal Value,Appraisal Date,FICO,Total LTV,Last Payment Received Date,Last Payment Received Amount,Suspense Balance,DDA/Sav Acct#,DDA/Sav Account Balance,Latest Contact Date,Latest Attempt Date,Resp 5/9
East West Bank,EWB-1000260,Equity,GNMA,Borrower 260,"7128 Main St, Unit 31",Residential Property (1-4 Units),CR1,CA,1,LOSS,Daniel Martin,2022-10-09,2052-10-01,2026-04-21,4941,Current,0,415886,0,635417,2022-09-09,704756,2025-03-02,620,59.01,2026-01-22,1002,467,SAV-67797,42434,2026-03-10,2026-03-19,NA
East West Bank,EWB-1000261,Equity,FNMA,Borrower 261,"5832 Main St, Unit 23",Commercial & Multi-Family (5+ Units),SP1,TX,1,TRNS,Margaret Harris,2022-07-23,2052-07-15,2026-04-21,3405,Current,0,320333,0,378504,2022-06-23,460945,2025-02-08,655,69.49,2026-02-07,1409,136,SAV-85509,20165,2026-03-17,2026-03-21,N
East West Bank,EWB-1000262,Construction,PRIV,Borrower 262,"4405 Main St, Unit 45",Residential Property (1-4 Units),SP1,CA,2,BK,Barbara Taylor,2023-05-31,2053-05-23,2026-04-21,2432,Current,0,889070,0,1239385,2023-05-01,1282818,2025-03-16,606,69.31,2026-03-06,2609,54,SAV-86631,7429,2026-03-22,2026-03-18,N
East West Bank,EWB-1000263,Foreign National,GNMA,Borrower 263,"621 Main St, Unit 21",Residential Property (1-4 Units),SP1,MA,1,LEG,Emily Watson,2022-07-01,2052-06-23,2026-04-21,4588,90-Day Delinquent,90,700288,540,1227978,2022-06-01,1458329,2025-09-06,677,48.02,2026-02-28,3026,233,SAV-21544,33042,2026-03-07,2026-03-22,Y
East West Bank,EWB-1000264,Specialty,FNMA,Borrower 264,"934 Main St, Unit 20",Commercial & Multi-Family (5+ Units),SP1,NJ,1,DIS,Linda Garcia,2022-04-16,2052-04-08,2026-04-21,3878,30-Day Delinquent,30,553105,0,722212,2022-03-17,906499,2024-11-23,752,61.02,2026-01-27,2836,360,SAV-43115,6631,2026-03-11,2026-03-19,Y
East West Bank,EWB-1000265,Foreign National,EWB-INT,Borrower 265,"9352 Main St, Unit 35",Residential Property (1-4 Units),CS1,WA,1,M,Richard Davis,2022-07-04,2052-06-26,2026-04-21,4267,60-Day Delinquent,60,303541,0,513476,2022-06-04,517851,2024-11-02,769,58.62,2026-02-24,2906,31,SAV-60095,26187,2026-03-14,2026-03-18,N
East West Bank,EWB-1000266,Lot Loan,PRIV,Borrower 266,"5280 Main St, Unit 24",Residential Property (1-4 Units),LC1,GA,3,PIF,Margaret Harris,2023-01-23,2053-01-15,2026-04-21,4056,Current,0,504921,0,540719,2022-12-24,492838,2025-10-14,772,102.45,2026-03-10,2454,117,SAV-57077,46907,2026-03-18,2026-03-21,NA
East West Bank,EWB-1000267,Lot Loan,FNMA,Borrower 267,"8165 Main St, Unit 26",Residential Property (1-4 Units),HE1,TX,1,TRNS,John Smith,2023-09-29,2053-09-21,2026-04-21,2924,Current,0,505023,0,685843,2023-08-30,690604,2025-02-15,608,73.13,2026-02-24,2906,134,SAV-62027,36865,2026-03-15,2026-03-17,Y
East West Bank,EWB-1000268,ARM,FHLMC,Borrower 268,"8359 Main St, Unit 47",Residential Property (1-4 Units),CR1,IL,3,M,Michael Chen,2022-05-01,2052-04-23,2026-04-21,3045,Current,0,353878,0,663319,2022-04-01,804534,2026-02-10,743,43.99,2026-01-28,1846,36,SAV-14118,3592,2026-03-21,2026-03-22,N
East West Bank,EWB-1000269,Foreign National,FNMA,Borrower 269,"1117 Main St, Unit 19",Residential Property (1-4 Units),LC1,VA,1,PIF,Donald Martinez,2023-05-21,2053-05-13,2026-04-21,3612,30-Day Delinquent,30,728340,0,1209622,2023-04-21,1100624,2025-07-09,677,66.18,2026-02-13,1027,324,SAV-35656,30628,2026-03-16,2026-03-18,Y
East West Bank,EWB-1000270,Equity,EWB-INT,Borrower 270,"8988 Main St, Unit 20",Commercial & Multi-Family (5+ Units),SP1,WA,4,PIF,Thomas Thompson,2022-01-30,2052-01-23,2026-04-21,4402,Current,0,1118959,0,1465573,2021-12-31,1707020,2025-01-11,648,65.55,2026-02-21,1718,488,SAV-83893,30479,2026-03-07,2026-03-20,N
East West Bank,EWB-1000271,Lot Loan,GNMA,Borrower 271,"6688 Main St, Unit 37",Residential Property (1-4 Units),HE1,CA,1,SII,Robert Brown,2023-11-17,2053-11-09,2026-04-21,1856,Current,0,840356,0,1404126,2023-10-18,1543244,2025-09-26,806,54.45,2026-01-31,1853,261,SAV-47713,22957,2026-03-10,2026-03-19,NA
East West Bank,EWB-1000272,ARM,EWB-INT,Borrower 272,"8690 Main St, Unit 49",Commercial & Multi-Family (5+ Units),HE1,MA,3,BK,Richard Davis,2022-03-13,2052-03-05,2026-04-21,3583,60-Day Delinquent,60,954787,0,1079616,2022-02-11,1255253,2024-10-02,780,76.06,2026-03-09,2737,467,SAV-23162,25783,2026-03-18,2026-03-20,N
East West Bank,EWB-1000273,Equity,EWB-INT,Borrower 273,"2454 Main St, Unit 5",Commercial & Multi-Family (5+ Units),SP1,MA,1,REO,Nancy Jackson,2022-12-07,2052-11-29,2026-04-21,4160,60-Day Delinquent,60,513267,0,806884,2022-11-07,822533,2025-12-10,780,62.4,2026-02-11,1505,483,SAV-26642,11154,2026-03-07,2026-03-18,NA
East West Bank,EWB-1000274,Construction,FHLMC,Borrower 274,"1913 Main St, Unit 14",Residential Property (1-4 Units),HE1,IL,2,FC,Emily Watson,2023-08-31,2053-08-23,2026-04-21,1955,Current,0,817626,0,991344,2023-08-01,1010277,2025-07-19,640,80.93,2026-01-31,3477,222,SAV-20023,7559,2026-03-22,2026-03-22,N
East West Bank,EWB-1000275,ARM,GNMA,Borrower 275,"442 Main St, Unit 11",Residential Property (1-4 Units),HE1,IL,2,PIF,James Miller,2023-02-25,2053-02-17,2026-04-21,2952,30-Day Delinquent,30,940544,0,1253913,2023-01-26,1304475,2026-01-27,618,72.1,2026-02-22,1011,285,SAV-62286,36155,2026-03-22,2026-03-18,Y
East West Bank,EWB-1000276,Foreign National,GNMA,Borrower 276,"7949 Main St, Unit 24",Commercial & Multi-Family (5+ Units),LC1,GA,3,REO,Margaret Harris,2022-11-18,2052-11-10,2026-04-21,1782,Current,0,640228,0,702433,2022-10-19,680417,2025-07-07,687,94.09,2026-02-21,2474,214,SAV-86271,41406,2026-03-22,2026-03-22,N
East West Bank,EWB-1000277,ARM,FNMA,Borrower 277,"2807 Main St, Unit 3",Residential Property (1-4 Units),CS1,CA,3,FC,Thomas Thompson,2022-06-16,2052-06-08,2026-04-21,1811,30-Day Delinquent,30,589001,0,890829,2022-05-17,1128678,2025-11-11,591,52.19,2026-02-24,1273,141,SAV-63660,39908,2026-03-21,2026-03-19,Y
East West Bank,EWB-1000278,ARM,EWB-INT,Borrower 278,"9123 Main St, Unit 33",Residential Property (1-4 Units),CS1,TX,1,REO,Susan Martinez,2023-10-02,2053-09-24,2026-04-21,3615,Current,0,832928,0,1324571,2023-09-02,1688969,2026-02-04,636,49.32,2026-03-12,1065,203,SAV-93663,35607,2026-03-15,2026-03-19,NA
East West Bank,EWB-1000279,Conventional,PRIV,Borrower 279,"1539 Main St, Unit 27",Commercial & Multi-Family (5+ Units),CS1,CA,2,FC,Thomas Thompson,2022-06-10,2052-06-02,2026-04-21,4579,Current,0,270712,0,469278,2022-05-11,518718,2026-02-09,659,52.19,2026-02-25,1305,219,SAV-31127,30992,2026-03-17,2026-03-19,Y
East West Bank,EWB-1000280,Specialty,FHLMC,Borrower 280,"1685 Main St, Unit 24",Residential Property (1-4 Units),CR1,NJ,2,TRNS,Donald Martinez,2022-10-26,2052-10-18,2026-04-21,3762,90-Day Delinquent,90,979585,2591,1401079,2022-09-26,1653862,2024-05-01,660,59.23,2026-03-02,1494,431,SAV-27499,38090,2026-03-08,2026-03-21,N
East West Bank,EWB-1000281,Foreign National,EWB-INT,Borrower 281,"6106 Main St, Unit 37",Commercial & Multi-Family (5+ Units),LC1,FL,4,SII,Patricia Hernandez,2023-05-02,2053-04-24,2026-04-21,2146,30-Day Delinquent,30,143212,0,255423,2023-04-02,250512,2025-08-05,604,57.17,2026-02-09,3234,294,SAV-73918,28081,2026-03-15,2026-03-19,Y
East West Bank,EWB-1000282,Lot Loan,FNMA,Borrower 282,"8760 Main St, Unit 10",Commercial & Multi-Family (5+ Units),SP1,GA,1,DIS,David Rodriguez,2023-08-08,2053-07-31,2026-04-21,1665,90-Day Delinquent,90,780171,1716,925435,2023-07-09,1006603,2024-05-07,638,77.51,2026-01-21,1764,490,SAV-30013,47879,2026-03-11,2026-03-17,NA
East West Bank,EWB-1000283,Construction,EWB-INT,Borrower 283,"8494 Main St, Unit 4",Residential Property (1-4 Units),SP1,TX,3,LEG,David Rodriguez,2023-03-10,2053-03-02,2026-04-21,2449,90-Day Delinquent,150,733656,103,1059164,2023-02-08,1298009,2024-09-01,626,56.52,2026-03-20,3541,22,SAV-14396,36208,2026-03-17,2026-03-19,N
East West Bank,EWB-1000284,Construction,FHLMC,Borrower 284,"9330 Main St, Unit 39",Commercial & Multi-Family (5+ Units),LC1,MA,2,PIF,Matthew Moore,2022-01-05,2051-12-29,2026-04-21,1348,Current,0,586021,0,762121,2021-12-06,938911,2025-11-27,829,62.41,2026-01-27,3066,259,SAV-70310,11533,2026-03-19,2026-03-18,NA
East West Bank,EWB-1000285,Foreign National,FHLMC,Borrower 285,"5776 Main St, Unit 29",Commercial & Multi-Family (5+ Units),CS1,IL,2,SII,Daniel Martin,2023-04-28,2053-04-20,2026-04-21,3667,Current,0,530017,0,814180,2023-03-29,758994,2024-09-20,716,69.83,2026-02-02,1109,285,SAV-42992,20053,2026-03-16,2026-03-19,Y
East West Bank,EWB-1000286,Foreign National,GNMA,Borrower 286,"1873 Main St, Unit 45",Residential Property (1-4 Units),CE1,VA,2,REO,Matthew Moore,2022-03-18,2052-03-10,2026-04-21,2091,Current,0,246834,0,354615,2022-02-16,424531,2024-10-11,794,58.14,2026-03-20,3099,162,SAV-58514,1639,2026-03-16,2026-03-21,Y
East West Bank,EWB-1000287,Foreign National,PRIV,Borrower 287,"5007 Main St, Unit 17",Commercial & Multi-Family (5+ Units),CE1,FL,3,REO,Linda Garcia,2022-01-28,2052-01-21,2026-04-21,4324,60-Day Delinquent,60,671988,0,1121741,2021-12-29,1106752,2025-02-14,682,60.72,2026-02-11,2897,456,SAV-78702,654,2026-03-14,2026-03-17,NA
East West Bank,EWB-1000288,Conventional,EWB-INT,Borrower 288,"8111 Main St, Unit 12",Commercial & Multi-Family (5+ Units),LC1,TX,1,LOSS,Joseph White,2023-02-02,2053-01-25,2026-04-21,2049,Current,0,326874,0,487054,2023-01-03,576948,2025-09-22,687,56.66,2026-02-16,3048,4,SAV-39986,33971,2026-03-09,2026-03-17,Y
East West Bank,EWB-1000289,Conventional,FHLMC,Borrower 289,"3545 Main St, Unit 10",Commercial & Multi-Family (5+ Units),HE1,TX,2,BK,Patricia Hernandez,2022-05-26,2052-05-18,2026-04-21,3933,Current,0,1146455,0,1408593,2022-04-26,1707974,2025-10-13,750,67.12,2026-03-22,3899,81,SAV-81741,36893,2026-03-17,2026-03-22,N
East West Bank,EWB-1000290,Equity,PRIV,Borrower 290,"1912 Main St, Unit 49",Residential Property (1-4 Units),CR1,NJ,1,DIS,David Rodriguez,2022-04-02,2052-03-25,2026-04-21,1400,Current,0,770696,0,826022,2022-03-03,950371,2025-02-22,618,81.09,2026-03-04,3648,281,SAV-84202,31776,2026-03-10,2026-03-21,N
East West Bank,EWB-1000291,Lot Loan,FNMA,Borrower 291,"7193 Main St, Unit 15",Residential Property (1-4 Units),SP1,VA,2,BK,Karen Anderson,2022-08-30,2052-08-22,2026-04-21,2086,Current,0,676767,0,991052,2022-07-31,1090607,2025-01-20,789,62.05,2026-03-12,2199,313,SAV-82930,529,2026-03-21,2026-03-22,N
East West Bank,EWB-1000292,Construction,FNMA,Borrower 292,"6839 Main St, Unit 27",Residential Property (1-4 Units),SP1,NY,1,LEG,Susan Martinez,2023-07-07,2053-06-29,2026-04-21,1782,Current,0,243236,0,404444,2023-06-07,395683,2024-12-22,687,61.47,2026-02-25,2859,423,SAV-76702,12023,2026-03-10,2026-03-18,N
East West Bank,EWB-1000293,Equity,EWB-INT,Borrower 293,"4429 Main St, Unit 14",Commercial & Multi-Family (5+ Units),CE1,NY,1,LEG,Michael Chen,2022-12-31,2052-12-23,2026-04-21,1173,Current,0,156650,0,273618,2022-12-01,347856,2025-09-04,613,45.03,2026-01-21,3503,330,SAV-76397,13127,2026-03-08,2026-03-21,N
East West Bank,EWB-1000294,Specialty,FNMA,Borrower 294,"7497 Main St, Unit 11",Residential Property (1-4 Units),CR1,WA,1,FC,Donald Martinez,2022-08-21,2052-08-13,2026-04-21,1955,Current,0,829232,0,965862,2022-07-22,1052223,2025-10-03,675,78.81,2026-02-25,3550,272,SAV-66755,34287,2026-03-17,2026-03-20,NA
East West Bank,EWB-1000295,Lot Loan,FNMA,Borrower 295,"7406 Main St, Unit 49",Residential Property (1-4 Units),LC1,VA,2,PIF,Margaret Harris,2023-06-09,2053-06-01,2026-04-21,4303,60-Day Delinquent,60,783739,0,1043741,2023-05-10,1273160,2026-01-23,824,61.56,2026-01-22,1864,347,SAV-41457,38295,2026-03-07,2026-03-20,Y
East West Bank,EWB-1000296,Conventional,EWB-INT,Borrower 296,"3899 Main St, Unit 31",Commercial & Multi-Family (5+ Units),CR1,WA,1,REO,Susan Martinez,2023-09-30,2053-09-22,2026-04-21,3866,Current,0,551863,0,969471,2023-08-31,1233268,2024-12-08,815,44.75,2026-03-07,3673,350,SAV-59701,45398,2026-03-07,2026-03-21,Y
East West Bank,EWB-1000297,Specialty,GNMA,Borrower 297,"324 Main St, Unit 15",Commercial & Multi-Family (5+ Units),CR1,CA,2,FC,James Miller,2022-08-21,2052-08-13,2026-04-21,4532,90-Day Delinquent,150,773639,2472,1039097,2022-07-22,1170580,2025-02-27,644,66.09,2026-02-28,1133,324,SAV-28518,2818,2026-03-19,2026-03-19,Y
East West Bank,EWB-1000298,Lot Loan,GNMA,Borrower 298,"6781 Main St, Unit 18",Residential Property (1-4 Units),CE1,FL,1,LOSS,Richard Davis,2023-03-24,2053-03-16,2026-04-21,1650,Current,0,572364,0,676338,2023-02-22,700522,2024-12-19,721,81.71,2026-02-08,2598,225,SAV-52991,8214,2026-03-17,2026-03-18,Y
East West Bank,EWB-1000299,Equity,FNMA,Borrower 299,"4198 Main St, Unit 48",Commercial & Multi-Family (5+ Units),HE1,CA,4,TRNS,Daniel Martin,2022-10-04,2052-09-26,2026-04-21,2207,Current,0,1180183,0,1364449,2022-09-04,1766621,2025-04-03,725,66.8,2026-01-28,2382,372,SAV-16865,21988,2026-03-16,2026-03-17,N
East West Bank,EWB-1000300,Specialty,FNMA,Borrower 300,"8199 Main St, Unit 5",Commercial & Multi-Family (5+ Units),CS1,NJ,1,BK,Charles Wilson,2022-11-22,2052-11-14,2026-04-21,1749,Current,0,440781,0,583816,2022-10-23,564097,2024-12-16,772,78.14,2026-02-09,2576,85,SAV-67672,31183,2026-03-20,2026-03-22,NA
East West Bank,EWB-1000301,Conventional,FNMA,Borrower 301,"2573 Main St, Unit 46",Residential Property (1-4 Units),CE1,IL,3,SII,Daniel Martin,2023-01-26,2053-01-18,2026-04-21,1879,90-Day Delinquent,90,480414,1525,917950,2022-12-27,942729,2024-07-16,719,50.96,2026-02-26,3090,64,SAV-18551,46051,2026-03-11,2026-03-20,Y
East West Bank,EWB-1000302,Specialty,EWB-INT,Borrower 302,"2007 Main St, Unit 45",Residential Property (1-4 Units),SP1,NJ,3,REO,Christopher Thomas,2023-06-23,2053-06-15,2026-04-21,3683,90-Day Delinquent,120,664072,1029,741652,2023-05-24,732182,2025-12-22,777,90.7,2026-03-16,2148,302,SAV-60036,8974,2026-03-11,2026-03-20,Y
East West Bank,EWB-1000303,ARM,GNMA,Borrower 303,"5292 Main St, Unit 20",Commercial & Multi-Family (5+ Units),SP1,WA,1,M,Donald Martinez,2023-08-12,2053-08-04,2026-04-21,2319,90-Day Delinquent,150,705533,3714,1062727,2023-07-13,985787,2026-02-10,641,71.57,2026-02-17,1498,341,SAV-38857,35513,2026-03-13,2026-03-18,NA
East West Bank,EWB-1000304,Lot Loan,PRIV,Borrower 304,"4493 Main St, Unit 29",Commercial & Multi-Family (5+ Units),CS1,GA,1,LOSS,Charles Wilson,2023-04-27,2053-04-19,2026-04-21,1586,30-Day Delinquent,30,304258,0,329352,2023-03-28,427245,2024-08-06,839,71.21,2026-01-21,1191,496,SAV-57522,37351,2026-03-13,2026-03-19,Y
East West Bank,EWB-1000305,Foreign National,FHLMC,Borrower 305,"7491 Main St, Unit 5",Commercial & Multi-Family (5+ Units),CS1,VA,1,LEG,Nancy Jackson,2023-11-20,2053-11-12,2026-04-21,4690,Current,0,963898,0,1148974,2023-10-21,1305517,2025-04-17,822,73.83,2026-02-01,1906,295,SAV-86459,37041,2026-03-20,2026-03-20,Y
East West Bank,EWB-1000306,Foreign National,EWB-INT,Borrower 306,"1487 Main St, Unit 21",Residential Property (1-4 Units),HE1,TX,3,LEG,David Rodriguez,2022-02-04,2052-01-28,2026-04-21,4929,Current,0,826867,0,1013561,2022-01-05,1127902,2025-11-06,805,73.31,2026-03-22,2205,4,SAV-40406,28612,2026-03-14,2026-03-18,NA
East West Bank,EWB-1000307,Specialty,EWB-INT,Borrower 307,"2306 Main St, Unit 23",Residential Property (1-4 Units),CS1,IL,3,REO,Donald Martinez,2022-01-07,2051-12-31,2026-04-21,1285,Current,0,413432,0,626072,2021-12-08,661269,2024-10-03,838,62.52,2026-02-01,3046,150,SAV-69094,33299,2026-03-08,2026-03-21,NA
East West Bank,EWB-1000308,Construction,GNMA,Borrower 308,"6269 Main St, Unit 2",Residential Property (1-4 Units),HE1,TX,3,REO,Emily Watson,2022-08-29,2052-08-21,2026-04-21,2223,60-Day Delinquent,60,779987,0,1118452,2022-07-30,1430935,2025-12-29,626,54.51,2026-02-11,3872,108,SAV-84886,13611,2026-03-08,2026-03-19,N
East West Bank,EWB-1000309,Lot Loan,EWB-INT,Borrower 309,"6384 Main St, Unit 32",Residential Property (1-4 Units),CS1,VA,1,LEG,Thomas Thompson,2023-08-06,2053-07-29,2026-04-21,4331,Current,0,519497,0,983032,2023-07-07,1096764,2025-11-14,599,47.37,2026-01-27,2203,242,SAV-36509,27707,2026-03-09,2026-03-20,Y
East West Bank,EWB-1000310,Lot Loan,PRIV,Borrower 310,"8505 Main St, Unit 31",Residential Property (1-4 Units),HE1,CA,4,REO,Charles Wilson,2023-03-03,2053-02-23,2026-04-21,4087,90-Day Delinquent,150,354351,203,438316,2023-02-01,444064,2024-10-19,757,79.8,2026-02-11,3398,439,SAV-37955,8154,2026-03-18,2026-03-22,Y
East West Bank,EWB-1000311,Construction,GNMA,Borrower 311,"9877 Main St, Unit 20",Commercial & Multi-Family (5+ Units),CE1,FL,2,TRNS,James Miller,2023-09-29,2053-09-21,2026-04-21,1502,Current,0,688272,0,1189504,2023-08-30,1098906,2025-07-20,582,62.63,2026-02-16,2059,82,SAV-57042,25763,2026-03-10,2026-03-18,N
East West Bank,EWB-1000312,Specialty,FNMA,Borrower 312,"9183 Main St, Unit 21",Commercial & Multi-Family (5+ Units),CR1,IL,4,SII,Michael Chen,2023-07-02,2053-06-24,2026-04-21,1350,60-Day Delinquent,60,862502,0,943719,2023-06-02,1158173,2025-11-24,647,74.47,2026-03-22,3636,6,SAV-55795,48682,2026-03-09,2026-03-20,N
East West Bank,EWB-1000313,Foreign National,EWB-INT,Borrower 313,"7483 Main St, Unit 43",Commercial & Multi-Family (5+ Units),CS1,MA,1,DIS,Michael Chen,2023-02-27,2053-02-19,2026-04-21,4645,Current,0,697603,0,915537,2023-01-28,986765,2025-05-30,684,70.7,2026-02-03,1017,440,SAV-69410,39820,2026-03-11,2026-03-17,N
East West Bank,EWB-1000314,Construction,GNMA,Borrower 314,"5100 Main St, Unit 39",Commercial & Multi-Family (5+ Units),HE1,TX,1,LEG,Jessica Taylor,2022-05-23,2052-05-15,2026-04-21,3325,Current,0,112468,0,193642,2022-04-23,228629,2024-08-29,716,49.19,2026-02-11,2567,234,SAV-44447,11098,2026-03-14,2026-03-19,N
East West Bank,EWB-1000315,Equity,FHLMC,Borrower 315,"4319 Main St, Unit 40",Commercial & Multi-Family (5+ Units),SP1,NY,1,PIF,Karen Anderson,2022-11-28,2052-11-20,2026-04-21,1957,Current,0,647165,0,763089,2022-10-29,972780,2025-03-26,749,66.53,2026-01-24,1480,195,SAV-55392,23932,2026-03-08,2026-03-17,NA
East West Bank,EWB-1000316,Construction,PRIV,Borrower 316,"1566 Main St, Unit 13",Residential Property (1-4 Units),CR1,IL,3,BK,Michael Chen,2023-06-03,2053-05-26,2026-04-21,4083,60-Day Delinquent,60,309989,0,476916,2023-05-04,441490,2025-01-22,805,70.21,2026-02-10,1574,35,SAV-15351,28356,2026-03-19,2026-03-19,NA
East West Bank,EWB-1000317,Lot Loan,EWB-INT,Borrower 317,"7103 Main St, Unit 17",Residential Property (1-4 Units),CS1,CA,3,PIF,James Miller,2023-03-23,2053-03-15,2026-04-21,1144,Current,0,571102,0,708030,2023-02-21,655820,2026-01-14,830,87.08,2026-02-07,3358,384,SAV-50629,28412,2026-03-19,2026-03-19,NA
East West Bank,EWB-1000318,Conventional,FHLMC,Borrower 318,"7917 Main St, Unit 25",Residential Property (1-4 Units),LC1,MA,2,TRNS,Charles Wilson,2023-10-15,2053-10-07,2026-04-21,3696,30-Day Delinquent,30,683255,0,1310793,2023-09-15,1694404,2024-11-24,616,40.32,2026-02-05,1336,208,SAV-46442,33015,2026-03-08,2026-03-18,N
East West Bank,EWB-1000319,Lot Loan,GNMA,Borrower 319,"1099 Main St, Unit 41",Residential Property (1-4 Units),HE1,GA,1,LOSS,Jessica Taylor,2023-12-30,2053-12-22,2026-04-21,1285,Current,0,510370,0,808380,2023-11-30,978254,2024-07-08,693,52.17,2026-02-22,1198,214,SAV-65324,46731,2026-03-11,2026-03-18,N
East West Bank,EWB-1000320,Conventional,EWB-INT,Borrower 320,"5057 Main St, Unit 12",Commercial & Multi-Family (5+ Units),CR1,IL,3,TRNS,Christopher Thomas,2022-06-17,2052-06-09,2026-04-21,1905,Current,0,466346,0,656079,2022-05-18,630933,2025-04-09,694,73.91,2026-02-05,2628,361,SAV-86568,30108,2026-03-18,2026-03-22,NA
East West Bank,EWB-1000321,Foreign National,FHLMC,Borrower 321,"4078 Main St, Unit 4",Commercial & Multi-Family (5+ Units),CS1,IL,1,M,Charles Wilson,2022-11-15,2052-11-07,2026-04-21,1051,60-Day Delinquent,60,715287,0,806951,2022-10-16,1008860,2026-01-12,619,70.9,2026-02-10,2722,457,SAV-23422,35797,2026-03-22,2026-03-22,N
East West Bank,EWB-1000322,Lot Loan,EWB-INT,Borrower 322,"2174 Main St, Unit 36",Residential Property (1-4 Units),CE1,MA,4,M,Daniel Martin,2023-01-25,2053-01-17,2026-04-21,4827,Current,0,124838,0,249616,2022-12-26,318168,2025-06-04,795,39.24,2026-03-04,2057,81,SAV-20597,7179,2026-03-16,2026-03-21,N
East West Bank,EWB-1000323,Lot Loan,PRIV,Borrower 323,"651 Main St, Unit 23",Residential Property (1-4 Units),CR1,TX,1,SII,Charles Wilson,2023-04-28,2053-04-20,2026-04-21,3318,60-Day Delinquent,60,864658,0,1218199,2023-03-29,1263118,2025-11-21,638,68.45,2026-02-08,2991,81,SAV-89050,13064,2026-03-20,2026-03-21,Y
East West Bank,EWB-1000324,Specialty,FNMA,Borrower 324,"4245 Main St, Unit 20",Commercial & Multi-Family (5+ Units),CR1,GA,2,DIS,Patricia Hernandez,2022-10-08,2052-09-30,2026-04-21,4813,90-Day Delinquent,90,219295,749,255228,2022-09-08,257458,2025-02-23,624,85.18,2026-02-11,2205,116,SAV-51666,8170,2026-03-11,2026-03-19,Y
East West Bank,EWB-1000325,ARM,FNMA,Borrower 325,"2715 Main St, Unit 26",Residential Property (1-4 Units),LC1,NJ,2,M,Lisa Williams,2023-01-20,2053-01-12,2026-04-21,2658,30-Day Delinquent,30,1008001,0,1267850,2022-12-21,1596352,2024-12-26,767,63.14,2026-03-22,3612,110,SAV-69069,35980,2026-03-15,2026-03-21,N
East West Bank,EWB-1000326,ARM,PRIV,Borrower 326,"1882 Main St, Unit 48",Commercial & Multi-Family (5+ Units),LC1,NY,1,PIF,Jessica Taylor,2022-08-15,2052-08-07,2026-04-21,3869,Current,0,158493,0,198874,2022-07-16,212292,2024-08-13,828,74.66,2026-02-05,3710,406,SAV-76736,36369,2026-03-16,2026-03-21,N
East West Bank,EWB-1000327,Foreign National,EWB-INT,Borrower 327,"7260 Main St, Unit 18",Commercial & Multi-Family (5+ Units),LC1,IL,4,PIF,Jessica Taylor,2023-09-09,2053-09-01,2026-04-21,1611,Current,0,484382,0,721926,2023-08-10,905696,2024-12-22,739,53.48,2026-01-24,1314,409,SAV-63519,18644,2026-03-13,2026-03-22,N
East West Bank,EWB-1000328,Construction,GNMA,Borrower 328,"2626 Main St, Unit 22",Residential Property (1-4 Units),CS1,CA,4,LEG,Charles Wilson,2022-07-21,2052-07-13,2026-04-21,1720,Current,0,158833,0,192534,2022-06-21,178529,2025-12-01,837,88.97,2026-01-30,3215,44,SAV-99949,13164,2026-03-08,2026-03-18,NA
East West Bank,EWB-1000329,Conventional,GNMA,Borrower 329,"5509 Main St, Unit 13",Commercial & Multi-Family (5+ Units),CE1,NJ,3,LEG,David Rodriguez,2023-09-27,2053-09-19,2026-04-21,4072,60-Day Delinquent,60,521140,0,766412,2023-08-28,701433,2024-09-15,803,74.3,2026-01-30,3483,197,SAV-87068,27107,2026-03-19,2026-03-18,Y
East West Bank,EWB-1000330,Construction,PRIV,Borrower 330,"7904 Main St, Unit 25",Residential Property (1-4 Units),SP1,WA,4,DIS,Charles Wilson,2022-06-16,2052-06-08,2026-04-21,4420,Current,0,797121,0,1273994,2022-05-17,1243149,2025-10-31,812,64.12,2026-01-21,2874,231,SAV-39808,41395,2026-03-19,2026-03-21,NA
East West Bank,EWB-1000331,Foreign National,EWB-INT,Borrower 331,"5229 Main St, Unit 47",Commercial & Multi-Family (5+ Units),SP1,MA,1,LOSS,Christopher Thomas,2023-03-01,2053-02-21,2026-04-21,3990,30-Day Delinquent,30,189030,0,313038,2023-01-30,380092,2024-03-23,742,49.73,2026-02-01,1278,19,SAV-61698,44677,2026-03-16,2026-03-19,NA
East West Bank,EWB-1000332,Foreign National,FNMA,Borrower 332,"8855 Main St, Unit 18",Commercial & Multi-Family (5+ Units),HE1,IL,4,PIF,Margaret Harris,2023-07-05,2053-06-27,2026-04-21,2257,Current,0,383844,0,750530,2023-06-05,739001,2025-01-03,653,51.94,2026-03-22,3127,371,SAV-23287,38629,2026-03-15,2026-03-17,N
East West Bank,EWB-1000333,Construction,FNMA,Borrower 333,"3699 Main St, Unit 50",Commercial & Multi-Family (5+ Units),CE1,TX,3,LOSS,Joseph White,2023-09-26,2053-09-18,2026-04-21,3888,Current,0,991034,0,1342929,2023-08-27,1544103,2025-01-05,639,64.18,2026-03-13,3025,457,SAV-20139,26125,2026-03-17,2026-03-21,NA
